,Place,Address,Category,Rating,urls,lat,lng
0,M C Boys P G,"7MR3+H4H, Ramanuja Rd",Boy's Hostel,5.0(1),"https://www.google.com/maps/place/M+C+Boys+P+G/@12.2914327,76.6441222,15z/data=!3m1!4b1!4m10!1m3!11m2!2suEgkHCF1SraV_3b6KUKlUg!3e3!3m5!1s0x3baf71ca995c9d7f:0x267dbf45c54fc108!8m2!3d12.2914328!4d76.6528555!15sCgEqkgELYm95c19ob3N0ZWw",12.2914328,76.6528555
1,Amba Nivasa Paying Guest,"No 46/1, Behind Jss Maha Vidhyapeeta, Ramanuja Road, 2nd Cross Rd",Hostel,3.0(86),"https://www.google.com/maps/place/Amba+Nivasa+Paying+Guest/@12.3014785,76.6462325,15z/data=!3m1!4b1!4m10!1m3!11m2!2suEgkHCF1SraV_3b6KUKlUg!3e3!3m5!1s0x3baf701a954fce57:0xba48930f4e0f8384!8m2!3d12.3015003!4d76.6549735!15sCgEqkgERc3R1ZGVudF9kb3JtaXRvcnk",12.3015003,76.6549735
2,Paying Guest Hostel,"52/1, 1st Floor, 6th Main, 5th Cross, Saraswathipuram, near SyndicateBank Mysuru Saraswathipuram Branch",Hostel,3.8(50),"https://www.google.com/maps/place/Paying+Guest+Hostel/@12.3012329,76.6227167,15z/data=!3m1!4b1!4m10!1m3!11m2!2suEgkHCF1SraV_3b6KUKlUg!3e3!3m5!1s0x3baf7aaf8a3937a9:0x1fad269aca04722f!8m2!3d12.301233!4d76.63145!15sCgEqkgERc3R1ZGVudF9kb3JtaXRvcnk",12.301233,76.63145
3,Kamalamma PG (Girls PG),"1029, 1st floor 3rd Cross, 9th Main Rd",Hostel,4.8(47),"https://www.google.com/maps/place/Kamalamma+PG+(Girls+PG)/@12.2758304,76.6154563,15z/data=!3m1!4b1!4m10!1m3!11m2!2suEgkHCF1SraV_3b6KUKlUg!3e3!3m5!1s0x3baf657a819a47c7:0xd6cb8ad51705bf43!8m2!3d12.2758305!4d76.6241896!15sCgEqkgERc3R1ZGVudF9kb3JtaXRvcnk",12.2758305,76.6241896
4,Dwarka PG,2847,Hostel,4.0(5),"https://www.google.com/maps/place/Dwarka+PG/@12.2913719,76.6279238,15z/data=!3m1!4b1!4m10!1m3!11m2!2suEgkHCF1SraV_3b6KUKlUg!3e3!3m5!1s0x3baf655355e14531:0x9448104c210c7375!8m2!3d12.291426!4d76.6366641!15sCgEqkgERc3R1ZGVudF9kb3JtaXRvcnk",12.291426,76.6366641
5,Male mahadeshwara girls pg,1086-1,Hostel,,"https://www.google.com/maps/place/Male+mahadeshwara+girls+pg/@12.2858032,76.6422595,15z/data=!3m1!4b1!4m10!1m3!11m2!2suEgkHCF1SraV_3b6KUKlUg!3e3!3m5!1s0x3baf6fda8b33f43f:0xad215ebf2714835e!8m2!3d12.2857761!4d76.6509925!15sCgEqkgERc3R1ZGVudF9kb3JtaXRvcnk",12.2857761,76.6509925
6,Shri Sai Boys PG,"1840, 1st Cross Rd",Hostel,2.9(11),"https://www.google.com/maps/place/Shri+Sai+Boys+PG/@12.2879469,76.6225527,15z/data=!3m1!4b1!4m10!1m3!11m2!2suEgkHCF1SraV_3b6KUKlUg!3e3!3m5!1s0x3baf65bfeff45823:0x156d9a4189f3b25b!8m2!3d12.287947!4d76.631286!15sCgEqkgERc3R1ZGVudF9kb3JtaXRvcnk",12.287947,76.631286
7,Ashraya Ladies PG ( paying guest),"No 1011,Above KFC, Aadya gowda Arcade, Udayaravi Rd",Hostel,3.8(32),"https://www.google.com/maps/place/Ashraya+Ladies+PG+(+paying+guest)/@12.2862348,76.6191609,15z/data=!3m1!4b1!4m10!1m3!11m2!2suEgkHCF1SraV_3b6KUKlUg!3e3!3m5!1s0x3baf7b63ec2b7433:0x3db97c7c920730da!8m2!3d12.2862349!4d76.6278942!15sCgEqkgERc3R1ZGVudF9kb3JtaXRvcnk",12.2862349,76.6278942
8,Prakruthi paying guest for boys,"#905, 82, 4th Main 5th Cross Rd",Student housing center,4.0(59),"https://www.google.com/maps/place/Prakruthi+paying+guest+for+boys/@12.2865768,76.639141,15z/data=!3m1!4b1!4m10!1m3!11m2!2suEgkHCF1SraV_3b6KUKlUg!3e3!3m5!1s0x3baf6f577f3e8951:0xdd83544ac8994eca!8m2!3d12.2866142!4d76.6478736!15sCgEqkgEWc3R1ZGVudF9ob3VzaW5nX2NlbnRlcg",12.2866142,76.6478736
9,,,,,"https://www.google.com/maps/place/0%C2%B000'00.0%22N+0%C2%B000'00.0%22E/@0,-0.0087333,15z/data=!3m1!4b1!4m6!1m3!11m2!2suEgkHCF1SraV_3b6KUKlUg!3e3!3m1!1s0x0:0xbc6dbea4e5fc3562",,
